DocId,Namespace,Type,Member,browser,linux,osx,win
M:Microsoft.SqlServer.Server.SqlDataRecord.#ctor(Microsoft.SqlServer.Server.SqlMetaData[]),Microsoft.SqlServer.Server,SqlDataRecord,.ctor(SqlMetaData[]),X,,,
M:Microsoft.SqlServer.Server.SqlDataRecord.get_FieldCount,Microsoft.SqlServer.Server,SqlDataRecord,get_FieldCount(),X,,,
M:Microsoft.SqlServer.Server.SqlDataRecord.get_Item(System.Int32),Microsoft.SqlServer.Server,SqlDataRecord,get_Item(Int32),X,,,
M:Microsoft.SqlServer.Server.SqlDataRecord.get_Item(System.String),Microsoft.SqlServer.Server,SqlDataRecord,get_Item(String),X,,,
M:Microsoft.SqlServer.Server.SqlDataRecord.GetBoolean(System.Int32),Microsoft.SqlServer.Server,SqlDataRecord,GetBoolean(Int32),X,,,
M:Microsoft.SqlServer.Server.SqlDataRecord.GetByte(System.Int32),Microsoft.SqlServer.Server,SqlDataRecord,GetByte(Int32),X,,,
"M:Microsoft.SqlServer.Server.SqlDataRecord.GetBytes(System.Int32,System.Int64,System.Byte[],System.Int32,System.Int32)",Microsoft.SqlServer.Server,SqlDataRecord,"GetBytes(Int32, Int64, Byte[], Int32, Int32)",X,,,
M:Microsoft.SqlServer.Server.SqlDataRecord.GetChar(System.Int32),Microsoft.SqlServer.Server,SqlDataRecord,GetChar(Int32),X,,,
"M:Microsoft.SqlServer.Server.SqlDataRecord.GetChars(System.Int32,System.Int64,System.Char[],System.Int32,System.Int32)",Microsoft.SqlServer.Server,SqlDataRecord,"GetChars(Int32, Int64, Char[], Int32, Int32)",X,,,
M:Microsoft.SqlServer.Server.SqlDataRecord.GetDataTypeName(System.Int32),Microsoft.SqlServer.Server,SqlDataRecord,GetDataTypeName(Int32),X,,,
M:Microsoft.SqlServer.Server.SqlDataRecord.GetDateTime(System.Int32),Microsoft.SqlServer.Server,SqlDataRecord,GetDateTime(Int32),X,,,
M:Microsoft.SqlServer.Server.SqlDataRecord.GetDateTimeOffset(System.Int32),Microsoft.SqlServer.Server,SqlDataRecord,GetDateTimeOffset(Int32),X,,,
M:Microsoft.SqlServer.Server.SqlDataRecord.GetDecimal(System.Int32),Microsoft.SqlServer.Server,SqlDataRecord,GetDecimal(Int32),X,,,
M:Microsoft.SqlServer.Server.SqlDataRecord.GetDouble(System.Int32),Microsoft.SqlServer.Server,SqlDataRecord,GetDouble(Int32),X,,,
M:Microsoft.SqlServer.Server.SqlDataRecord.GetFieldType(System.Int32),Microsoft.SqlServer.Server,SqlDataRecord,GetFieldType(Int32),X,,,
M:Microsoft.SqlServer.Server.SqlDataRecord.GetFloat(System.Int32),Microsoft.SqlServer.Server,SqlDataRecord,GetFloat(Int32),X,,,
M:Microsoft.SqlServer.Server.SqlDataRecord.GetGuid(System.Int32),Microsoft.SqlServer.Server,SqlDataRecord,GetGuid(Int32),X,,,
M:Microsoft.SqlServer.Server.SqlDataRecord.GetInt16(System.Int32),Microsoft.SqlServer.Server,SqlDataRecord,GetInt16(Int32),X,,,
M:Microsoft.SqlServer.Server.SqlDataRecord.GetInt32(System.Int32),Microsoft.SqlServer.Server,SqlDataRecord,GetInt32(Int32),X,,,
M:Microsoft.SqlServer.Server.SqlDataRecord.GetInt64(System.Int32),Microsoft.SqlServer.Server,SqlDataRecord,GetInt64(Int32),X,,,
M:Microsoft.SqlServer.Server.SqlDataRecord.GetName(System.Int32),Microsoft.SqlServer.Server,SqlDataRecord,GetName(Int32),X,,,
M:Microsoft.SqlServer.Server.SqlDataRecord.GetOrdinal(System.String),Microsoft.SqlServer.Server,SqlDataRecord,GetOrdinal(String),X,,,
M:Microsoft.SqlServer.Server.SqlDataRecord.GetSqlBinary(System.Int32),Microsoft.SqlServer.Server,SqlDataRecord,GetSqlBinary(Int32),X,,,
M:Microsoft.SqlServer.Server.SqlDataRecord.GetSqlBoolean(System.Int32),Microsoft.SqlServer.Server,SqlDataRecord,GetSqlBoolean(Int32),X,,,
M:Microsoft.SqlServer.Server.SqlDataRecord.GetSqlByte(System.Int32),Microsoft.SqlServer.Server,SqlDataRecord,GetSqlByte(Int32),X,,,
M:Microsoft.SqlServer.Server.SqlDataRecord.GetSqlBytes(System.Int32),Microsoft.SqlServer.Server,SqlDataRecord,GetSqlBytes(Int32),X,,,
M:Microsoft.SqlServer.Server.SqlDataRecord.GetSqlChars(System.Int32),Microsoft.SqlServer.Server,SqlDataRecord,GetSqlChars(Int32),X,,,
M:Microsoft.SqlServer.Server.SqlDataRecord.GetSqlDateTime(System.Int32),Microsoft.SqlServer.Server,SqlDataRecord,GetSqlDateTime(Int32),X,,,
M:Microsoft.SqlServer.Server.SqlDataRecord.GetSqlDecimal(System.Int32),Microsoft.SqlServer.Server,SqlDataRecord,GetSqlDecimal(Int32),X,,,
M:Microsoft.SqlServer.Server.SqlDataRecord.GetSqlDouble(System.Int32),Microsoft.SqlServer.Server,SqlDataRecord,GetSqlDouble(Int32),X,,,
M:Microsoft.SqlServer.Server.SqlDataRecord.GetSqlFieldType(System.Int32),Microsoft.SqlServer.Server,SqlDataRecord,GetSqlFieldType(Int32),X,,,
M:Microsoft.SqlServer.Server.SqlDataRecord.GetSqlGuid(System.Int32),Microsoft.SqlServer.Server,SqlDataRecord,GetSqlGuid(Int32),X,,,
M:Microsoft.SqlServer.Server.SqlDataRecord.GetSqlInt16(System.Int32),Microsoft.SqlServer.Server,SqlDataRecord,GetSqlInt16(Int32),X,,,
M:Microsoft.SqlServer.Server.SqlDataRecord.GetSqlInt32(System.Int32),Microsoft.SqlServer.Server,SqlDataRecord,GetSqlInt32(Int32),X,,,
M:Microsoft.SqlServer.Server.SqlDataRecord.GetSqlInt64(System.Int32),Microsoft.SqlServer.Server,SqlDataRecord,GetSqlInt64(Int32),X,,,
M:Microsoft.SqlServer.Server.SqlDataRecord.GetSqlMetaData(System.Int32),Microsoft.SqlServer.Server,SqlDataRecord,GetSqlMetaData(Int32),X,,,
M:Microsoft.SqlServer.Server.SqlDataRecord.GetSqlMoney(System.Int32),Microsoft.SqlServer.Server,SqlDataRecord,GetSqlMoney(Int32),X,,,
M:Microsoft.SqlServer.Server.SqlDataRecord.GetSqlSingle(System.Int32),Microsoft.SqlServer.Server,SqlDataRecord,GetSqlSingle(Int32),X,,,
M:Microsoft.SqlServer.Server.SqlDataRecord.GetSqlString(System.Int32),Microsoft.SqlServer.Server,SqlDataRecord,GetSqlString(Int32),X,,,
M:Microsoft.SqlServer.Server.SqlDataRecord.GetSqlValue(System.Int32),Microsoft.SqlServer.Server,SqlDataRecord,GetSqlValue(Int32),X,,,
M:Microsoft.SqlServer.Server.SqlDataRecord.GetSqlValues(System.Object[]),Microsoft.SqlServer.Server,SqlDataRecord,GetSqlValues(Object[]),X,,,
M:Microsoft.SqlServer.Server.SqlDataRecord.GetSqlXml(System.Int32),Microsoft.SqlServer.Server,SqlDataRecord,GetSqlXml(Int32),X,,,
M:Microsoft.SqlServer.Server.SqlDataRecord.GetString(System.Int32),Microsoft.SqlServer.Server,SqlDataRecord,GetString(Int32),X,,,
M:Microsoft.SqlServer.Server.SqlDataRecord.GetTimeSpan(System.Int32),Microsoft.SqlServer.Server,SqlDataRecord,GetTimeSpan(Int32),X,,,
M:Microsoft.SqlServer.Server.SqlDataRecord.GetValue(System.Int32),Microsoft.SqlServer.Server,SqlDataRecord,GetValue(Int32),X,,,
M:Microsoft.SqlServer.Server.SqlDataRecord.GetValues(System.Object[]),Microsoft.SqlServer.Server,SqlDataRecord,GetValues(Object[]),X,,,
M:Microsoft.SqlServer.Server.SqlDataRecord.IsDBNull(System.Int32),Microsoft.SqlServer.Server,SqlDataRecord,IsDBNull(Int32),X,,,
"M:Microsoft.SqlServer.Server.SqlDataRecord.SetBoolean(System.Int32,System.Boolean)",Microsoft.SqlServer.Server,SqlDataRecord,"SetBoolean(Int32, Boolean)",X,,,
"M:Microsoft.SqlServer.Server.SqlDataRecord.SetByte(System.Int32,System.Byte)",Microsoft.SqlServer.Server,SqlDataRecord,"SetByte(Int32, Byte)",X,,,
"M:Microsoft.SqlServer.Server.SqlDataRecord.SetBytes(System.Int32,System.Int64,System.Byte[],System.Int32,System.Int32)",Microsoft.SqlServer.Server,SqlDataRecord,"SetBytes(Int32, Int64, Byte[], Int32, Int32)",X,,,
"M:Microsoft.SqlServer.Server.SqlDataRecord.SetChar(System.Int32,System.Char)",Microsoft.SqlServer.Server,SqlDataRecord,"SetChar(Int32, Char)",X,,,
"M:Microsoft.SqlServer.Server.SqlDataRecord.SetChars(System.Int32,System.Int64,System.Char[],System.Int32,System.Int32)",Microsoft.SqlServer.Server,SqlDataRecord,"SetChars(Int32, Int64, Char[], Int32, Int32)",X,,,
"M:Microsoft.SqlServer.Server.SqlDataRecord.SetDateTime(System.Int32,System.DateTime)",Microsoft.SqlServer.Server,SqlDataRecord,"SetDateTime(Int32, DateTime)",X,,,
"M:Microsoft.SqlServer.Server.SqlDataRecord.SetDateTimeOffset(System.Int32,System.DateTimeOffset)",Microsoft.SqlServer.Server,SqlDataRecord,"SetDateTimeOffset(Int32, DateTimeOffset)",X,,,
M:Microsoft.SqlServer.Server.SqlDataRecord.SetDBNull(System.Int32),Microsoft.SqlServer.Server,SqlDataRecord,SetDBNull(Int32),X,,,
"M:Microsoft.SqlServer.Server.SqlDataRecord.SetDecimal(System.Int32,System.Decimal)",Microsoft.SqlServer.Server,SqlDataRecord,"SetDecimal(Int32, Decimal)",X,,,
"M:Microsoft.SqlServer.Server.SqlDataRecord.SetDouble(System.Int32,System.Double)",Microsoft.SqlServer.Server,SqlDataRecord,"SetDouble(Int32, Double)",X,,,
"M:Microsoft.SqlServer.Server.SqlDataRecord.SetFloat(System.Int32,System.Single)",Microsoft.SqlServer.Server,SqlDataRecord,"SetFloat(Int32, Single)",X,,,
"M:Microsoft.SqlServer.Server.SqlDataRecord.SetGuid(System.Int32,System.Guid)",Microsoft.SqlServer.Server,SqlDataRecord,"SetGuid(Int32, Guid)",X,,,
"M:Microsoft.SqlServer.Server.SqlDataRecord.SetInt16(System.Int32,System.Int16)",Microsoft.SqlServer.Server,SqlDataRecord,"SetInt16(Int32, Int16)",X,,,
"M:Microsoft.SqlServer.Server.SqlDataRecord.SetInt32(System.Int32,System.Int32)",Microsoft.SqlServer.Server,SqlDataRecord,"SetInt32(Int32, Int32)",X,,,
"M:Microsoft.SqlServer.Server.SqlDataRecord.SetInt64(System.Int32,System.Int64)",Microsoft.SqlServer.Server,SqlDataRecord,"SetInt64(Int32, Int64)",X,,,
"M:Microsoft.SqlServer.Server.SqlDataRecord.SetSqlBinary(System.Int32,System.Data.SqlTypes.SqlBinary)",Microsoft.SqlServer.Server,SqlDataRecord,"SetSqlBinary(Int32, SqlBinary)",X,,,
"M:Microsoft.SqlServer.Server.SqlDataRecord.SetSqlBoolean(System.Int32,System.Data.SqlTypes.SqlBoolean)",Microsoft.SqlServer.Server,SqlDataRecord,"SetSqlBoolean(Int32, SqlBoolean)",X,,,
"M:Microsoft.SqlServer.Server.SqlDataRecord.SetSqlByte(System.Int32,System.Data.SqlTypes.SqlByte)",Microsoft.SqlServer.Server,SqlDataRecord,"SetSqlByte(Int32, SqlByte)",X,,,
"M:Microsoft.SqlServer.Server.SqlDataRecord.SetSqlBytes(System.Int32,System.Data.SqlTypes.SqlBytes)",Microsoft.SqlServer.Server,SqlDataRecord,"SetSqlBytes(Int32, SqlBytes)",X,,,
"M:Microsoft.SqlServer.Server.SqlDataRecord.SetSqlChars(System.Int32,System.Data.SqlTypes.SqlChars)",Microsoft.SqlServer.Server,SqlDataRecord,"SetSqlChars(Int32, SqlChars)",X,,,
"M:Microsoft.SqlServer.Server.SqlDataRecord.SetSqlDateTime(System.Int32,System.Data.SqlTypes.SqlDateTime)",Microsoft.SqlServer.Server,SqlDataRecord,"SetSqlDateTime(Int32, SqlDateTime)",X,,,
"M:Microsoft.SqlServer.Server.SqlDataRecord.SetSqlDecimal(System.Int32,System.Data.SqlTypes.SqlDecimal)",Microsoft.SqlServer.Server,SqlDataRecord,"SetSqlDecimal(Int32, SqlDecimal)",X,,,
"M:Microsoft.SqlServer.Server.SqlDataRecord.SetSqlDouble(System.Int32,System.Data.SqlTypes.SqlDouble)",Microsoft.SqlServer.Server,SqlDataRecord,"SetSqlDouble(Int32, SqlDouble)",X,,,
"M:Microsoft.SqlServer.Server.SqlDataRecord.SetSqlGuid(System.Int32,System.Data.SqlTypes.SqlGuid)",Microsoft.SqlServer.Server,SqlDataRecord,"SetSqlGuid(Int32, SqlGuid)",X,,,
"M:Microsoft.SqlServer.Server.SqlDataRecord.SetSqlInt16(System.Int32,System.Data.SqlTypes.SqlInt16)",Microsoft.SqlServer.Server,SqlDataRecord,"SetSqlInt16(Int32, SqlInt16)",X,,,
"M:Microsoft.SqlServer.Server.SqlDataRecord.SetSqlInt32(System.Int32,System.Data.SqlTypes.SqlInt32)",Microsoft.SqlServer.Server,SqlDataRecord,"SetSqlInt32(Int32, SqlInt32)",X,,,
"M:Microsoft.SqlServer.Server.SqlDataRecord.SetSqlInt64(System.Int32,System.Data.SqlTypes.SqlInt64)",Microsoft.SqlServer.Server,SqlDataRecord,"SetSqlInt64(Int32, SqlInt64)",X,,,
"M:Microsoft.SqlServer.Server.SqlDataRecord.SetSqlMoney(System.Int32,System.Data.SqlTypes.SqlMoney)",Microsoft.SqlServer.Server,SqlDataRecord,"SetSqlMoney(Int32, SqlMoney)",X,,,
"M:Microsoft.SqlServer.Server.SqlDataRecord.SetSqlSingle(System.Int32,System.Data.SqlTypes.SqlSingle)",Microsoft.SqlServer.Server,SqlDataRecord,"SetSqlSingle(Int32, SqlSingle)",X,,,
"M:Microsoft.SqlServer.Server.SqlDataRecord.SetSqlString(System.Int32,System.Data.SqlTypes.SqlString)",Microsoft.SqlServer.Server,SqlDataRecord,"SetSqlString(Int32, SqlString)",X,,,
"M:Microsoft.SqlServer.Server.SqlDataRecord.SetSqlXml(System.Int32,System.Data.SqlTypes.SqlXml)",Microsoft.SqlServer.Server,SqlDataRecord,"SetSqlXml(Int32, SqlXml)",X,,,
"M:Microsoft.SqlServer.Server.SqlDataRecord.SetString(System.Int32,System.String)",Microsoft.SqlServer.Server,SqlDataRecord,"SetString(Int32, String)",X,,,
"M:Microsoft.SqlServer.Server.SqlDataRecord.SetTimeSpan(System.Int32,System.TimeSpan)",Microsoft.SqlServer.Server,SqlDataRecord,"SetTimeSpan(Int32, TimeSpan)",X,,,
"M:Microsoft.SqlServer.Server.SqlDataRecord.SetValue(System.Int32,System.Object)",Microsoft.SqlServer.Server,SqlDataRecord,"SetValue(Int32, Object)",X,,,
M:Microsoft.SqlServer.Server.SqlDataRecord.SetValues(System.Object[]),Microsoft.SqlServer.Server,SqlDataRecord,SetValues(Object[]),X,,,
M:Microsoft.SqlServer.Server.SqlDataRecord.System#Data#IDataRecord#GetData(System.Int32),Microsoft.SqlServer.Server,SqlDataRecord,System.Data.IDataRecord.GetData(Int32),X,,,
M:Microsoft.SqlServer.Server.SqlFacetAttribute.#ctor,Microsoft.SqlServer.Server,SqlFacetAttribute,.ctor(),X,,,
M:Microsoft.SqlServer.Server.SqlFacetAttribute.get_IsFixedLength,Microsoft.SqlServer.Server,SqlFacetAttribute,get_IsFixedLength(),X,,,
M:Microsoft.SqlServer.Server.SqlFacetAttribute.get_IsNullable,Microsoft.SqlServer.Server,SqlFacetAttribute,get_IsNullable(),X,,,
M:Microsoft.SqlServer.Server.SqlFacetAttribute.get_MaxSize,Microsoft.SqlServer.Server,SqlFacetAttribute,get_MaxSize(),X,,,
M:Microsoft.SqlServer.Server.SqlFacetAttribute.get_Precision,Microsoft.SqlServer.Server,SqlFacetAttribute,get_Precision(),X,,,
M:Microsoft.SqlServer.Server.SqlFacetAttribute.get_Scale,Microsoft.SqlServer.Server,SqlFacetAttribute,get_Scale(),X,,,
M:Microsoft.SqlServer.Server.SqlFacetAttribute.set_IsFixedLength(System.Boolean),Microsoft.SqlServer.Server,SqlFacetAttribute,set_IsFixedLength(Boolean),X,,,
M:Microsoft.SqlServer.Server.SqlFacetAttribute.set_IsNullable(System.Boolean),Microsoft.SqlServer.Server,SqlFacetAttribute,set_IsNullable(Boolean),X,,,
M:Microsoft.SqlServer.Server.SqlFacetAttribute.set_MaxSize(System.Int32),Microsoft.SqlServer.Server,SqlFacetAttribute,set_MaxSize(Int32),X,,,
M:Microsoft.SqlServer.Server.SqlFacetAttribute.set_Precision(System.Int32),Microsoft.SqlServer.Server,SqlFacetAttribute,set_Precision(Int32),X,,,
M:Microsoft.SqlServer.Server.SqlFacetAttribute.set_Scale(System.Int32),Microsoft.SqlServer.Server,SqlFacetAttribute,set_Scale(Int32),X,,,
M:Microsoft.SqlServer.Server.SqlFunctionAttribute.#ctor,Microsoft.SqlServer.Server,SqlFunctionAttribute,.ctor(),X,,,
M:Microsoft.SqlServer.Server.SqlFunctionAttribute.get_DataAccess,Microsoft.SqlServer.Server,SqlFunctionAttribute,get_DataAccess(),X,,,
M:Microsoft.SqlServer.Server.SqlFunctionAttribute.get_FillRowMethodName,Microsoft.SqlServer.Server,SqlFunctionAttribute,get_FillRowMethodName(),X,,,
M:Microsoft.SqlServer.Server.SqlFunctionAttribute.get_IsDeterministic,Microsoft.SqlServer.Server,SqlFunctionAttribute,get_IsDeterministic(),X,,,
M:Microsoft.SqlServer.Server.SqlFunctionAttribute.get_IsPrecise,Microsoft.SqlServer.Server,SqlFunctionAttribute,get_IsPrecise(),X,,,
M:Microsoft.SqlServer.Server.SqlFunctionAttribute.get_Name,Microsoft.SqlServer.Server,SqlFunctionAttribute,get_Name(),X,,,
M:Microsoft.SqlServer.Server.SqlFunctionAttribute.get_SystemDataAccess,Microsoft.SqlServer.Server,SqlFunctionAttribute,get_SystemDataAccess(),X,,,
M:Microsoft.SqlServer.Server.SqlFunctionAttribute.get_TableDefinition,Microsoft.SqlServer.Server,SqlFunctionAttribute,get_TableDefinition(),X,,,
M:Microsoft.SqlServer.Server.SqlFunctionAttribute.set_DataAccess(Microsoft.SqlServer.Server.DataAccessKind),Microsoft.SqlServer.Server,SqlFunctionAttribute,set_DataAccess(DataAccessKind),X,,,
M:Microsoft.SqlServer.Server.SqlFunctionAttribute.set_FillRowMethodName(System.String),Microsoft.SqlServer.Server,SqlFunctionAttribute,set_FillRowMethodName(String),X,,,
M:Microsoft.SqlServer.Server.SqlFunctionAttribute.set_IsDeterministic(System.Boolean),Microsoft.SqlServer.Server,SqlFunctionAttribute,set_IsDeterministic(Boolean),X,,,
M:Microsoft.SqlServer.Server.SqlFunctionAttribute.set_IsPrecise(System.Boolean),Microsoft.SqlServer.Server,SqlFunctionAttribute,set_IsPrecise(Boolean),X,,,
M:Microsoft.SqlServer.Server.SqlFunctionAttribute.set_Name(System.String),Microsoft.SqlServer.Server,SqlFunctionAttribute,set_Name(String),X,,,
M:Microsoft.SqlServer.Server.SqlFunctionAttribute.set_SystemDataAccess(Microsoft.SqlServer.Server.SystemDataAccessKind),Microsoft.SqlServer.Server,SqlFunctionAttribute,set_SystemDataAccess(SystemDataAccessKind),X,,,
M:Microsoft.SqlServer.Server.SqlFunctionAttribute.set_TableDefinition(System.String),Microsoft.SqlServer.Server,SqlFunctionAttribute,set_TableDefinition(String),X,,,
"M:Microsoft.SqlServer.Server.SqlMetaData.#ctor(System.String,System.Data.SqlDbType)",Microsoft.SqlServer.Server,SqlMetaData,".ctor(String, SqlDbType)",X,,,
"M:Microsoft.SqlServer.Server.SqlMetaData.#ctor(System.String,System.Data.SqlDbType,System.Boolean,System.Boolean,System.Data.SqlClient.SortOrder,System.Int32)",Microsoft.SqlServer.Server,SqlMetaData,".ctor(String, SqlDbType, Boolean, Boolean, SortOrder, Int32)",X,,,
"M:Microsoft.SqlServer.Server.SqlMetaData.#ctor(System.String,System.Data.SqlDbType,System.Byte,System.Byte)",Microsoft.SqlServer.Server,SqlMetaData,".ctor(String, SqlDbType, Byte, Byte)",X,,,
"M:Microsoft.SqlServer.Server.SqlMetaData.#ctor(System.String,System.Data.SqlDbType,System.Byte,System.Byte,System.Boolean,System.Boolean,System.Data.SqlClient.SortOrder,System.Int32)",Microsoft.SqlServer.Server,SqlMetaData,".ctor(String, SqlDbType, Byte, Byte, Boolean, Boolean, SortOrder, Int32)",X,,,
"M:Microsoft.SqlServer.Server.SqlMetaData.#ctor(System.String,System.Data.SqlDbType,System.Int64)",Microsoft.SqlServer.Server,SqlMetaData,".ctor(String, SqlDbType, Int64)",X,,,
"M:Microsoft.SqlServer.Server.SqlMetaData.#ctor(System.String,System.Data.SqlDbType,System.Int64,System.Boolean,System.Boolean,System.Data.SqlClient.SortOrder,System.Int32)",Microsoft.SqlServer.Server,SqlMetaData,".ctor(String, SqlDbType, Int64, Boolean, Boolean, SortOrder, Int32)",X,,,
"M:Microsoft.SqlServer.Server.SqlMetaData.#ctor(System.String,System.Data.SqlDbType,System.Int64,System.Byte,System.Byte,System.Int64,System.Data.SqlTypes.SqlCompareOptions,System.Type)",Microsoft.SqlServer.Server,SqlMetaData,".ctor(String, SqlDbType, Int64, Byte, Byte, Int64, SqlCompareOptions, Type)",X,,,
"M:Microsoft.SqlServer.Server.SqlMetaData.#ctor(System.String,System.Data.SqlDbType,System.Int64,System.Byte,System.Byte,System.Int64,System.Data.SqlTypes.SqlCompareOptions,System.Type,System.Boolean,System.Boolean,System.Data.SqlClient.SortOrder,System.Int32)",Microsoft.SqlServer.Server,SqlMetaData,".ctor(String, SqlDbType, Int64, Byte, Byte, Int64, SqlCompareOptions, Type, Boolean, Boolean, SortOrder, Int32)",X,,,
"M:Microsoft.SqlServer.Server.SqlMetaData.#ctor(System.String,System.Data.SqlDbType,System.Int64,System.Int64,System.Data.SqlTypes.SqlCompareOptions)",Microsoft.SqlServer.Server,SqlMetaData,".ctor(String, SqlDbType, Int64, Int64, SqlCompareOptions)",X,,,
"M:Microsoft.SqlServer.Server.SqlMetaData.#ctor(System.String,System.Data.SqlDbType,System.Int64,System.Int64,System.Data.SqlTypes.SqlCompareOptions,System.Boolean,System.Boolean,System.Data.SqlClient.SortOrder,System.Int32)",Microsoft.SqlServer.Server,SqlMetaData,".ctor(String, SqlDbType, Int64, Int64, SqlCompareOptions, Boolean, Boolean, SortOrder, Int32)",X,,,
"M:Microsoft.SqlServer.Server.SqlMetaData.#ctor(System.String,System.Data.SqlDbType,System.String,System.String,System.String)",Microsoft.SqlServer.Server,SqlMetaData,".ctor(String, SqlDbType, String, String, String)",X,,,
"M:Microsoft.SqlServer.Server.SqlMetaData.#ctor(System.String,System.Data.SqlDbType,System.String,System.String,System.String,System.Boolean,System.Boolean,System.Data.SqlClient.SortOrder,System.Int32)",Microsoft.SqlServer.Server,SqlMetaData,".ctor(String, SqlDbType, String, String, String, Boolean, Boolean, SortOrder, Int32)",X,,,
"M:Microsoft.SqlServer.Server.SqlMetaData.#ctor(System.String,System.Data.SqlDbType,System.Type)",Microsoft.SqlServer.Server,SqlMetaData,".ctor(String, SqlDbType, Type)",X,,,
"M:Microsoft.SqlServer.Server.SqlMetaData.#ctor(System.String,System.Data.SqlDbType,System.Type,System.String)",Microsoft.SqlServer.Server,SqlMetaData,".ctor(String, SqlDbType, Type, String)",X,,,
"M:Microsoft.SqlServer.Server.SqlMetaData.#ctor(System.String,System.Data.SqlDbType,System.Type,System.String,System.Boolean,System.Boolean,System.Data.SqlClient.SortOrder,System.Int32)",Microsoft.SqlServer.Server,SqlMetaData,".ctor(String, SqlDbType, Type, String, Boolean, Boolean, SortOrder, Int32)",X,,,
M:Microsoft.SqlServer.Server.SqlMetaData.Adjust(System.Boolean),Microsoft.SqlServer.Server,SqlMetaData,Adjust(Boolean),X,,,
M:Microsoft.SqlServer.Server.SqlMetaData.Adjust(System.Byte),Microsoft.SqlServer.Server,SqlMetaData,Adjust(Byte),X,,,
M:Microsoft.SqlServer.Server.SqlMetaData.Adjust(System.Byte[]),Microsoft.SqlServer.Server,SqlMetaData,Adjust(Byte[]),X,,,
M:Microsoft.SqlServer.Server.SqlMetaData.Adjust(System.Char),Microsoft.SqlServer.Server,SqlMetaData,Adjust(Char),X,,,
M:Microsoft.SqlServer.Server.SqlMetaData.Adjust(System.Char[]),Microsoft.SqlServer.Server,SqlMetaData,Adjust(Char[]),X,,,
M:Microsoft.SqlServer.Server.SqlMetaData.Adjust(System.DateTime),Microsoft.SqlServer.Server,SqlMetaData,Adjust(DateTime),X,,,
M:Microsoft.SqlServer.Server.SqlMetaData.Adjust(System.DateTimeOffset),Microsoft.SqlServer.Server,SqlMetaData,Adjust(DateTimeOffset),X,,,
M:Microsoft.SqlServer.Server.SqlMetaData.Adjust(System.Decimal),Microsoft.SqlServer.Server,SqlMetaData,Adjust(Decimal),X,,,
M:Microsoft.SqlServer.Server.SqlMetaData.Adjust(System.Double),Microsoft.SqlServer.Server,SqlMetaData,Adjust(Double),X,,,
M:Microsoft.SqlServer.Server.SqlMetaData.Adjust(System.Guid),Microsoft.SqlServer.Server,SqlMetaData,Adjust(Guid),X,,,
M:Microsoft.SqlServer.Server.SqlMetaData.Adjust(System.Int16),Microsoft.SqlServer.Server,SqlMetaData,Adjust(Int16),X,,,
M:Microsoft.SqlServer.Server.SqlMetaData.Adjust(System.Int32),Microsoft.SqlServer.Server,SqlMetaData,Adjust(Int32),X,,,
M:Microsoft.SqlServer.Server.SqlMetaData.Adjust(System.Int64),Microsoft.SqlServer.Server,SqlMetaData,Adjust(Int64),X,,,
M:Microsoft.SqlServer.Server.SqlMetaData.Adjust(System.Object),Microsoft.SqlServer.Server,SqlMetaData,Adjust(Object),X,,,
M:Microsoft.SqlServer.Server.SqlMetaData.Adjust(System.Single),Microsoft.SqlServer.Server,SqlMetaData,Adjust(Single),X,,,
M:Microsoft.SqlServer.Server.SqlMetaData.Adjust(System.Data.SqlTypes.SqlBinary),Microsoft.SqlServer.Server,SqlMetaData,Adjust(SqlBinary),X,,,
M:Microsoft.SqlServer.Server.SqlMetaData.Adjust(System.Data.SqlTypes.SqlBoolean),Microsoft.SqlServer.Server,SqlMetaData,Adjust(SqlBoolean),X,,,
M:Microsoft.SqlServer.Server.SqlMetaData.Adjust(System.Data.SqlTypes.SqlByte),Microsoft.SqlServer.Server,SqlMetaData,Adjust(SqlByte),X,,,
M:Microsoft.SqlServer.Server.SqlMetaData.Adjust(System.Data.SqlTypes.SqlBytes),Microsoft.SqlServer.Server,SqlMetaData,Adjust(SqlBytes),X,,,
M:Microsoft.SqlServer.Server.SqlMetaData.Adjust(System.Data.SqlTypes.SqlChars),Microsoft.SqlServer.Server,SqlMetaData,Adjust(SqlChars),X,,,
M:Microsoft.SqlServer.Server.SqlMetaData.Adjust(System.Data.SqlTypes.SqlDateTime),Microsoft.SqlServer.Server,SqlMetaData,Adjust(SqlDateTime),X,,,
M:Microsoft.SqlServer.Server.SqlMetaData.Adjust(System.Data.SqlTypes.SqlDecimal),Microsoft.SqlServer.Server,SqlMetaData,Adjust(SqlDecimal),X,,,
M:Microsoft.SqlServer.Server.SqlMetaData.Adjust(System.Data.SqlTypes.SqlDouble),Microsoft.SqlServer.Server,SqlMetaData,Adjust(SqlDouble),X,,,
M:Microsoft.SqlServer.Server.SqlMetaData.Adjust(System.Data.SqlTypes.SqlGuid),Microsoft.SqlServer.Server,SqlMetaData,Adjust(SqlGuid),X,,,
M:Microsoft.SqlServer.Server.SqlMetaData.Adjust(System.Data.SqlTypes.SqlInt16),Microsoft.SqlServer.Server,SqlMetaData,Adjust(SqlInt16),X,,,
M:Microsoft.SqlServer.Server.SqlMetaData.Adjust(System.Data.SqlTypes.SqlInt32),Microsoft.SqlServer.Server,SqlMetaData,Adjust(SqlInt32),X,,,
